,P_coo,P_fan,P_hea,P_pum,P_tot,T_oa,T_roo,T_set
17402.0,0.0,0.0,0.0,0.0,0.0,289.25,290.17029499634293,303.5080265180438
17403.0,0.0,0.0,0.0,0.0,0.0,289.25,290.3275514042526,303.5080265180438
17404.0,105.63452997228397,0.7382200855917096,0.0,4.731515687406334,111.10426574528199,289.2727513141055,290.32899697266146,303.5080265180438
17405.0,138.9746752328801,0.8739606953892678,0.0,5.60152564407184,145.4501615723412,289.3923258251439,290.2383511812013,303.5080265180438
17406.0,141.53346918051506,0.8739606953892678,0.0,5.60152564407184,148.00895551997618,289.5782290057362,290.27046662538595,303.51969552359697
17407.0,142.06704754857907,0.8739606953892678,0.0,5.60152564407184,148.54253388804017,289.76632364079086,290.3828254097568,303.555547982858
17408.0,145.38132835984752,0.8739606953892678,0.0,5.60152564407184,151.85681469930867,289.90863783319463,290.65427394749616,303.55862337208407
17409.0,154.83635380032118,0.8739606953892678,0.0,5.60152564407184,161.31184013978225,290.0311292501882,291.04543031785045,303.55862337208407
17410.0,166.15360576194053,0.8739606953892678,0.0,5.60152564407184,172.62909210140168,290.1525866085796,291.42714004888,303.55862337208407
17411.0,177.2149865767996,0.8739606953892678,0.0,5.60152564407184,183.6904729162607,290.2790903136081,291.80839772277193,303.55862337208407
17412.0,187.81315921132898,0.8739606953892678,0.0,5.60152564407184,194.28864555079014,290.4162134786141,292.19219925122286,303.55862337208407
17413.0,198.11306268153757,0.8739606953892678,0.0,5.60152564407184,204.58854902099867,290.56433132318836,292.5792802410442,303.55862337208407
17414.0,208.26112280732912,0.8739606953892678,0.0,5.60152564407184,214.73660914679024,290.7178576630175,292.97188911347405,303.55862337208407
17415.0,216.49394492810978,0.8739606953892678,0.0,5.60152564407184,222.96943126757097,290.8705546258418,293.373567424165,303.84704386730897
17416.0,223.33576357296002,0.8739606953892678,0.0,5.60152564407184,229.81124991242112,291.01621825113426,293.7880596104623,304.7529491495259
17417.0,231.81277864988047,0.8739606953892678,0.0,5.60152564407184,238.28826498934157,291.15117287295504,294.21661415994646,304.8363749384886
17418.0,240.9250752022069,0.8739606953892678,0.0,5.60152564407184,247.40056154166803,291.27585058898995,294.65532825770697,304.8363749384886
17419.0,250.2617763923175,0.8739606953892678,0.0,5.60152564407184,256.7372627317786,291.39136565306706,295.0935670659836,304.8363749384886
17420.0,258.838779528456,0.8739606953892678,0.0,5.60152564407184,265.3142658679171,291.48259127807756,295.5188088405431,304.8363749384886
17421.0,263.5983560558856,0.8739606953892678,0.0,5.60152564407184,270.07384239534673,291.49913876200924,295.92198470716716,304.8363749384886
17422.0,263.96968365367786,0.8739606953892678,0.0,5.60152564407184,270.44516999313896,291.46927723402007,296.29959022114974,304.8363749384886
17423.0,263.6922679893138,0.8739606953892678,0.0,5.60152564407184,270.16775432877483,291.4458364937436,296.6550374951905,304.8363749384886
17424.0,263.868207167619,0.8739606953892678,0.0,5.60152564407184,270.34369350708016,291.49206343091106,296.997588068925,304.8363749384886
17425.0,265.1153529826858,0.8739606953892678,0.0,5.60152564407184,271.5908393221469,291.65508296666945,297.33724396942307,304.8363749384886
17426.0,267.630148208804,0.899924838622311,0.0,5.60152564407184,274.13159869149814,291.8627794137418,297.6576011879242,302.6139566279674
17427.0,453.71960770409635,16.571415773910473,0.0,5.60152564407184,475.89254912207866,292.01530270553235,295.4540880014794,295.570399346594
17428.0,531.7432029825492,28.049726123121992,0.0,5.60152564407184,565.394454749743,292.0020197132182,294.9269144620885,294.9271264518629
17429.0,500.0608932237023,24.983976801828636,0.0,5.60152564407184,530.6463956696027,291.75593520096083,294.9269028246188,294.9271264518629
17430.0,465.31639877903706,22.174214228680334,0.0,5.60152564407184,493.09213865178924,291.3930324275191,294.92690982580825,294.9271264518629
17431.0,434.37045136556543,19.754508085981193,0.0,5.60152564407184,459.72648509561856,291.06788054156976,294.9269320322965,294.9271264518629
17432.0,413.6123380704033,17.829787414931143,0.0,5.60152564407184,437.0436511294064,290.918506745513,294.9269655889302,294.9271264518629
17433.0,403.6393963494381,16.336403126215092,0.0,5.60152564407184,425.577325119725,290.9408724720007,294.9269905580721,294.9271264518629
17434.0,323.58324853781846,7.710833193121607,0.0,5.60152564407184,336.895607375012,291.0150016949291,295.4614387512793,297.33726743676107
17435.0,251.62973927551283,0.8739606953892678,0.0,5.60152564407184,258.10522561497396,291.01293566674235,296.41503633425395,304.8454534387207
17436.0,248.46160621035853,0.8739606953892678,0.0,5.60152564407184,254.9370925498196,290.81136905344914,296.8972282647741,305.51260843632883
17437.0,237.93731873143605,0.8739606953892678,0.0,5.60152564407184,244.4128050708972,290.3884121531865,297.10203142388815,305.51260843632883
17438.0,220.6061068531636,0.8739606953892678,0.0,5.60152564407184,227.08159319262467,289.8750189843829,297.12969359492587,305.51260843632883
17439.0,201.17482461676127,0.8739606953892678,0.0,5.60152564407184,207.65031095622237,289.42532600975295,297.05017228939244,305.51260843632883
17440.0,185.2235538168413,0.8739606953892678,0.0,5.60152564407184,191.6990401563024,289.14439293542443,296.9118185738672,305.51260843632883
17441.0,174.1782731038658,0.8739606953892678,0.0,5.60152564407184,180.65375944332695,288.944093542467,296.7432822616219,305.51260843632883
17442.0,166.7856373542966,0.8739606953892678,0.0,5.60152564407184,173.26112369375767,288.8025411369797,296.56010664122994,305.8316088485504
17443.0,162.8216198309845,0.8739606953892678,0.0,5.60152564407184,169.2971061704456,288.7443912709133,296.3723560885517,306.8087035226469
17444.0,162.70730380029985,0.8739606953892678,0.0,5.60152564407184,169.18279013976095,288.7925441386669,296.18776963503996,306.8909150144817
17445.0,167.45539728937214,0.8739606953892678,0.0,5.60152564407184,173.93088362883324,288.93395395507497,296.0114912012849,306.8909150144817
17446.0,176.2605429267402,0.8739606953892678,0.0,5.60152564407184,182.73602926620126,289.1022387312495,295.8443971988633,306.8909150144817
17447.0,185.7701494856542,0.8739606953892678,0.0,5.60152564407184,192.24563582511527,289.22288020271174,295.6816745620547,306.8909150144817
17448.0,191.93535116935126,0.8739606953892678,0.0,5.60152564407184,198.41083750881234,289.24997418850165,295.4111619615372,306.8909150144817
17449.0,194.40157938705568,0.8739606953892678,0.0,5.60152564407184,200.87706572651683,289.25,295.0488533311512,306.8909150144817
17450.0,195.31116004093374,0.8739606953892678,0.0,5.60152564407184,201.78664638039484,289.25,294.71676941107035,306.8909150144817
17451.0,193.65793902819274,0.8650853478254104,0.0,5.544640377673385,200.06766475369153,289.25,294.3998902266973,306.8909150144817
17452.0,15.643468421018389,0.06985420611838251,0.0,0.44772050846533384,16.161043135602103,289.25,294.43842125929064,306.8909150144817
17453.0,0.0,0.0,0.0,0.0,0.0,289.25,294.67861393988375,303.70727912721327
17454.0,173.7078860731793,0.7413525612023729,0.0,4.751592840252145,179.20083147463384,289.25,293.4741969654519,293.98489176132074
17455.0,200.00103549496427,0.8739606953892678,0.0,5.60152564407184,206.47652183442537,289.25,293.0006665408649,293.1874962059593
17456.0,197.31767223804889,0.8739606953892678,0.0,5.60152564407184,203.79315857750993,289.25,292.8003528614545,293.1874962059593
