,T_oa,T_roo,mass_flow
20699,306.2833333,297.4492483,0.20710832
20700,306.0333333,298.1782535,0.234073706
20701,305.7833333,295.1479553,0.563391927
20702,305.5333333,294.0519191,0.542745749
20703,305.2833333,296.2108176,0.215935416
20704,305.0413069,296.0753186,0.311372375
20705,304.8256101,293.4653613,0.644377957
20706,304.603642,294.7508141,0.325277043
20707,304.3285681,297.1093821,0.116026745
20708,303.9571953,296.5454122,0.21898703
20709,303.4874727,295.1479977,0.311257343
20710,302.9615266,297.6825401,0.083944923
20711,302.4261964,296.9264946,0.206448059
20712,301.9166667,295.0061835,0.269078505
20713,301.4166667,292.1421719,0.62614879
20714,300.9166667,292.071417,0.426947786
20715,300.4166287,292.8870277,0.24540999
20716,299.7980191,293.8201533,0.116234023
20717,298.7128954,294.4794955,0.0783114
20718,297.4407479,294.4831724,0.075
20719,296.4501311,294.2163448,0.075
20720,296.033692,293.9356637,0.075
20721,295.7833333,293.6708169,0.075
20722,295.5333333,293.4154703,0.075
20723,295.2833333,293.1685729,0.075
20724,295.0333333,292.9297292,0.075
20725,294.7833333,292.6984429,0.075
20726,294.5333333,292.4741749,0.075
20727,294.2831663,292.2564081,0.075
20728,293.9305103,292.0421647,0.075
20729,293.164259,291.812145,0.075
20730,292.1982156,291.5570217,0.075
20731,291.4069164,291.2912536,0.075
20732,291.1303061,291.040001,0.075
20733,291.3685955,290.8222474,0.075
20734,291.8122125,290.6399811,0.075
20735,292.1235753,290.4835094,0.075
20736,292.0575404,290.3328033,0.075
20737,291.797726,290.1769917,0.075
20738,291.4989181,290.0192279,0.075
20739,291.2456585,289.8650966,0.075
20740,291.1414041,289.7214327,0.075
20741,291.2482864,289.5953575,0.075
20742,291.3863819,289.48566,0.075
20743,291.321422,289.3800131,0.075
20744,290.9166253,289.2605914,0.075
20745,290.4166667,289.1248462,0.075
20746,289.9166667,288.9804205,0.075
20747,289.4166667,288.8296551,0.075
20748,288.9166667,288.6719425,0.075
20749,288.4166667,288.5082584,0.075
20750,287.9166667,288.3388218,0.075
20751,287.416683,288.1634848,0.075
20752,286.9717349,287.9839619,0.075
20753,286.7822879,287.8118536,0.075
20754,286.8298976,287.6602269,0.075
20755,287.0214805,287.5324804,0.075
20756,287.2809393,287.4311008,0.075
20757,287.6290197,287.3640748,0.075
20758,288.1060749,287.3436951,0.075
20759,288.7437246,287.3732353,0.094998764
20760,289.5785317,286.9253711,0.530913863
20761,290.6067893,287.2485694,0.169426135
20762,291.69749,287.0942984,0.601855977
20763,292.6945392,287.6063448,0.218806774
20764,293.4998177,287.6142267,0.571823057
20765,294.25,287.7944292,0.480449688
20766,295,287.8363006,0.645558162
20767,295.75,288.0706781,0.538446636
20768,296.5,288.2937972,0.6530521
20769,297.25,289.3831469,0.248685171
20770,298,290.0449844,0.316501243
20771,298.75,289.743705,0.537004809
20772,299.5,290.2577912,0.39575318
20773,300.25,291.2458802,0.282410677
20774,301,292.7679978,0.166999408
20775,301.75,293.6000269,0.181198697
20776,302.5674993,293.1709593,0.306117621
20777,303.6441322,292.5058739,0.477567259
20778,304.8081956,294.7871083,0.203565115
20779,305.7785715,293.7065166,0.478971153
20780,306.3832873,293.2901093,0.489576021
20781,306.8833333,295.5637872,0.228409261
20782,307.3833333,294.4108538,0.484406558
20783,307.8833333,295.9101562,0.274273913
